"Age" "Sex" "Status"
"1" 23 "Male" "Died"
"2" 40 "Female" "Survived"
"3" 40 "Male" "Survived"
"4" 30 "Male" "Died"
"5" 28 "Male" "Died"
"6" 40 "Male" "Died"
"7" 45 "Female" "Died"
"8" 62 "Male" "Died"
"9" 65 "Male" "Died"
"10" 45 "Female" "Died"
"11" 25 "Female" "Died"
"12" 28 "Male" "Survived"
"13" 28 "Male" "Died"
"14" 23 "Male" "Died"
"15" 22 "Female" "Survived"
"16" 23 "Female" "Survived"
"17" 28 "Male" "Survived"
"18" 15 "Female" "Survived"
"19" 47 "Female" "Died"
"20" 57 "Male" "Died"
"21" 20 "Female" "Survived"
"22" 18 "Male" "Survived"
"23" 25 "Male" "Died"
"24" 60 "Male" "Died"
"25" 25 "Male" "Survived"
"26" 20 "Male" "Survived"
"27" 32 "Male" "Survived"
"28" 32 "Female" "Survived"
"29" 24 "Female" "Survived"
"30" 30 "Male" "Survived"
"31" 15 "Male" "Died"
"32" 50 "Female" "Died"
"33" 21 "Female" "Survived"
"34" 25 "Male" "Died"
"35" 46 "Male" "Survived"
"36" 32 "Female" "Survived"
"37" 30 "Male" "Died"
"38" 25 "Male" "Died"
"39" 25 "Male" "Died"
"40" 25 "Male" "Died"
"41" 30 "Male" "Died"
"42" 35 "Male" "Died"
"43" 23 "Male" "Survived"
"44" 24 "Male" "Died"
"45" 25 "Female" "Survived"
